Posición,Jugador,Total de semanas
1,Steffi Graf,377
2,Martina Navratilova,332
3,Serena Williams,319
4,Chris Evert,260
5,Martina Hingis,209
6,Monica Seles,178
7,Justine Henin,117
8,Lindsay Davenport,98
9,Caroline Wozniacki,71
10,Simona Halep,64
11,Victoria Azarenka,51
12,Ashleigh Barty,47
13,Amélie Mauresmo,39
14,Angelique Kerber,34
15,Dinara Safina,26
16,Naomi Osaka,25
17,Tracy Austin,21
17,Maria Sharapova,21
19,Kim Clijsters,20
20,Jelena Jankovic,18
21,Jennifer Capriati,17
22,Arantxa Sánchez Vicario,12
22,Ana Ivanovic,12
24,Venus Williams,11
25,Karolina Pliskova,8
26,Garbiñe Muguruza,4
27,Evonne Goolagong Cawley,2
