Posición,País,Total de semanas,№ de tenistas,Jugadores
1,Estados Unidos,1123,8,"Chris Evert, Martina Navratilova, Tracy Austin, Monica Seles, Lindsay Davenport, Jennifer Capriati, Venus Williams, Serena Williams"
2,Alemania,411,2,"Steffi Graf, Angelique Kerber"
3,Suiza,209,1,Martina Hingis
4,Serbia,143,3,"Monica Seles, Ana Ivanovic, Jelena Jankovic"
5,Bélgica,137,2,"Kim Clijsters, Justine Henin"
6,Dinamarca,71,1,Caroline Wozniacki
7,Rumania,64,1,Simona Halep
8,Bielorrusia,51,1,Victoria Azarenka
9,Australia,49,2,"Evonne Goolagong Cawley, Ashleigh Barty"
10,Rusia,47,2,"Maria Sharapova, Dinara Safina"
11,Francia,39,1,Amélie Mauresmo
12,Japón,25,1,Naomi Osaka
13,España,16,2,"Arantxa Sánchez Vicario, Garbiñe Muguruza"
14,República Checa,8,1,Karolina Pliskova
