Año,País,Jugadora
1975,,Chris Evert (1)
1976,,Chris Evert
1977,,Chris Evert
1978,,Martina Navratilova (2)
1979,,Martina Navratilova
1980,,Chris Evert
1981,,Chris Evert
1982,,Martina Navratilova
1983,,Martina Navratilova
1984,,Martina Navratilova
1985,,Martina Navratilova
1986,,Martina Navratilova
1987,,Steffi Graf (3)
1988,,Steffi Graf
1989,,Steffi Graf
1990,,Steffi Graf
1991,,Monica Seles (4)
1992,,Monica Seles
1993,,Steffi Graf
1994,,Steffi Graf
1995,,Steffi GrafMonica Seles
1996,,Steffi Graf
1997,,Martina Hingis (5)
1998,,Lindsay Davenport (6)
1999,,Martina Hingis
2000,,Martina Hingis
2001,,Lindsay Davenport
2002,,Serena Williams (7)
2003,,Justine Henin (8)
2004,,Lindsay Davenport
2005,,Lindsay Davenport
2006,,Justine Henin
2007,,Justine Henin
2008,,Jelena Janković (9)
2009,,Serena Williams
2010,,Caroline Wozniacki (10)
2011,,Caroline Wozniacki
2012,,Victoria Azarenka (11)
2013,,Serena Williams
2014,,Serena Williams
2015,,Serena Williams
2016,,Angelique Kerber (12)
2017,,Simona Halep (13)
2018,,Simona Halep
2019,,Ashleigh Barty (14)
2020,,Ashleigh Barty
