País,Jugadora,Veces,Años en finalizar como número 1
,Steffi Graf,8,"1987, 1988, 1989, 1990, 1993, 1994, 1995, 1996"
,Martina Navratilova,7,"1978, 1979, 1982, 1983, 1984, 1985, 1986"
,Chris Evert,5,"1975, 1976, 1977, 1980, 1981"
,Serena Williams,5,"2002, 2009, 2013, 2014, 2015"
,Lindsay Davenport,4,"1998, 2001, 2004, 2005"
,Justine Henin,3,"2003, 2006, 2007"
,Martina Hingis,3,"1997, 1999, 2000"
,Monica Seles,3,"1991, 1992, 1995"
,Caroline Wozniacki,2,"2010, 2011"
,Simona Halep,2,"2017, 2018"
,Ashleigh Barty,2,"2019, 2020"
,Jelena Janković,1,2008
,Victoria Azarenka,1,2012
,Angelique Kerber,1,2016
